321.44,663.03,515.33,-95.649,-718.2,-1171.5,-2008.3,-3870.2,-6347.7,-7900,-7252.6,-4750.6,-2024,-334.1,457.95,1245.5,2402.9,3493,4055.6,4212.9,4344.4,4481.1,4333.8,3824.1,3290.7,3108.1,3290.5,3561.8,3660.2,3448,2859.1,1954.1,1018.6,401.74
1211.4,954.74,-437.83,-2776,-5018.6,-6389,-7209,-8314.9,-9794.3,-10684,-9990.8,-7712.5,-4668,-1578.1,1367.5,4130.4,6432.9,7963.3,8775.4,9225.8,9533.1,9580.5,9172.7,8327.7,7235.3,6039.4,4776.6,3483,2259.4,1234.8,522.69,180.84,121.96,72.027
406.75,-403.53,-1723.8,-2262.7,-2426.8,-5296.2,-13669,-25913,-35826,-37591,-30860,-20560,-11970,-6577.9,-2565.5,1861.4,6570.3,10469,13156,15071,16562,17468,17561,16924,15761,14188,12394,10778,9632.1,8778,7761.9,6412.2,4995.6,3765.4
-1989.4,-1730,-1870.6,-2230.8,-2583.3,-2990.6,-3773.9,-5049.1,-6310.9,-6678.5,-5732.6,-4052.6,-2736.1,-2351.4,-2497.8,-2427.8,-1901.5,-1266.5,-853.95,-603.56,-332.19,-97.593,-80.427,-229.23,-275.86,-126.59,-37.535,-293.34,-827.01,-1287.5,-1434,-1340.5,-1210.4,-1099.9
1440.7,943.94,-619.06,-2951.9,-4963,-5890.3,-6139.5,-6650.1,-7552.7,-7882.5,-6714.3,-4210.9,-1297.5,1420.4,4003.3,6527.1,8587.4,9716,10023,10063,10108,9835.3,8828.8,7139.7,5214.7,3417.9,1824.5,422.89,-705.13,-1475.4,-1936.1,-2215.2,-2389.6,-2467.6
-2.4562,-384.16,-653.86,-448.89,28.753,-126.13,-1679.8,-4244,-6368.3,-6810.2,-5592,-3696.7,-1926.6,-346.27,1235.2,2675.6,3645.3,4123,4380.8,4482.3,4122.1,3112.6,1815.9,852.95,445.25,235.25,-255,-1159.1,-2251.7,-3167.6,-3536,-3123.4,-2100.7,-1097.9
1818.2,1676.9,1223.4,628.19,-186.21,-1529.8,-3472.7,-5519.5,-6895.3,-7145.7,-6379.3,-4958.9,-3107.1,-889.53,1517.8,3685.8,5090.6,5397.8,4662.6,3371.8,2272.3,1958.4,2446,3158.7,3450.1,3174.9,2707.6,2440.8,2405.1,2410.1,2370.8,2308.4,2108.3,1543.4
-2962.8,-2119.5,-1858,-2084,-2108.2,-1903.6,-2377.8,-4095,-6139,-6793.9,-5336.4,-2737,-481.85,913.73,1974.6,3197.3,4414.5,5208,5486.5,5425.8,5134.9,4702.9,4419.5,4556,4885.6,4753,3805.6,2456.3,1424.2,983.09,904.81,995.12,1273.6,1553.3
278.59,474.13,19.525,-2143.7,-5426.6,-8175.6,-9721.6,-10897,-12145,-12193,-9949.4,-7539.6,-9700.8,-18795,-30825,-37793,-34687,-23743,-11599,-2926.5,2522.2,7334.2,12557,17111,20058,22007,23961,25690,26007,24379,21610,18816,16278,13604
-5152.2,-4391.4,-4112.8,-4644.6,-5558.6,-6212.8,-6494.2,-6808.8,-7330.6,-7542.7,-6793.4,-5246.3,-3968.6,-3889.4,-4789.6,-5516.3,-5174,-3923.3,-2575.2,-1617.1,-837.1,183.57,1479.3,2717.6,3655.2,4383.1,5110.5,5831.8,6282.9,6192.8,5544.8,4621.6,3823.6,3402.4
-1303.1,-1977.2,-3064.4,-2818,-1332.5,-2050,-8904.9,-21340,-33061,-36917,-31214,-20760,-11801,-6662.5,-3454.3,191.95,4435.9,8117.5,10875,13382,15923,17762,18140,17280,16020,14804,13490,11981,10516,9262,8024.6,6605.6,5202.8,4144.7
-284.69,-142.6,-717.16,-2159,-4017.5,-5661.3,-6844.9,-7805.9,-8782.7,-9520,-9374.4,-7942.3,-5490.2,-2687.3,17.504,2615.7,5157.1,7362.4,8794.6,9351.5,9383.1,9260.9,8990.7,8386.5,7515.2,6734.6,6226.9,5670.1,4541.7,2721.3,670.3,-993.38,-1999.5,-2490.6
194.79,18.747,137.19,594.36,696.56,-373.76,-2708.8,-5475,-7499.4,-8022.9,-7022,-5031.4,-2762.4,-767.13,746.03,1892,2900.6,3883.7,4773.4,5432.3,5749.4,5626.8,4984.9,3901.4,2732,1949.9,1747.9,1826.4,1680.3,1135.1,536.6,348.8,604.27,838.58
544.16,340.73,-1014,-2001.2,-1380.7,-1083.4,-5428.4,-16259,-29353,-37044,-34970,-25752,-15767,-9059.7,-5033.8,-1300.6,2882.4,6588.8,9393.4,12073,15099,17549,18195,17137,15665,14614,13550,11734,9328.9,7214.8,5892.8,5067.7,4292.4,3550.3
1007.2,415.28,-430.49,-392.11,191.74,-1770.4,-9594.6,-22417,-34193,-38226,-32906,-22601,-13097,-6860.1,-2727.7,1054.6,4794.3,8070.1,11033,14114,16962,18558,18433,17174,15560,13738,11577,9395.2,7755.4,6642.1,5422.6,3784.1,2259,1501.4
5077.7,5578.7,5611.9,5321.5,4759.1,3600.7,1389.1,-1786.7,-4923,-6633.3,-6219,-4242,-1994.2,-390.92,600.83,1503.1,2455.4,2928.4,2291.6,535,-1671.4,-3598.3,-5015.6,-6087.1,-6815.2,-6765.2,-5436.9,-2864.7,252.51,3061.2,5165.6,6724.5,8009.2,8962.7
1503.1,2455.4,2928.4,2291.6,535,-1671.4,-3598.3,-5015.6,-6087.1,-6815.2,-6765.2,-5436.9,-2864.7,252.51,3061.2,5165.6,6724.5,8009.2,8962.7,9218.6,8484.7,6838,4674.2,2466.7,604.58,-650.87,-1228.6,-1330.5,-1353.1,-1590.3,-1980.8,-2219.4,-2156.2,-2027.3
-860.06,-635.68,-1005.8,-676.38,691.82,489.52,-5137.4,-16742,-29329,-35771,-32853,-23640,-13948,-7172.2,-2824.4,891.58,4482.2,7347.8,9366.6,11196,13146,14613,14928,14269,13340,12456,11383,9967.2,8453.2,7079.5,5776.5,4487.7,3487.2,3017
919.43,1171.5,1479.9,1715.5,1638.8,844.37,-1051.2,-3830.5,-6314.4,-7043.6,-5671.2,-3441.2,-1814.2,-713.3,1123,3616.5,3844.2,-1718.3,-12936,-24619,-30265,-27425,-19193,-10677,-4649.6,-729.8,2312.2,4750.6,6451.8,8019.6,10376,13371,15612,15961
-3441.2,-1814.2,-713.3,1123,3616.5,3844.2,-1718.3,-12936,-24619,-30265,-27425,-19193,-10677,-4649.6,-729.8,2312.2,4750.6,6451.8,8019.6,10376,13371,15612,15961,14772,13322,12337,11517,10387,9086.5,8066.2,7346.5,6460.5,5086.8,3442.5
1849,986.65,-64.976,-137.58,-62.864,-3158.9,-11956,-24291,-33755,-34935,-28110,-18405,-10682,-5944.5,-2444.4,1068.3,4166.6,6201.4,7582.6,9149,10970,12424,13171,13433,13338,12593,11078,9331.6,8073.6,7407.4,6849.6,6054.8,5137.4,4257.9
-290.46,149.16,722.1,1193.1,1279.5,625.27,-1037.8,-3418,-5527.6,-6382.7,-5868.6,-4664.9,-3309.8,-1691.9,375.63,2463.3,3867.9,4545.3,5218,6399.6,7665.1,8149.4,7530.4,6224.5,4807,3641.8,2979.7,2869.8,2820.1,2105.2,818.64,75.182,287.31,-647.28
2820.1,2105.2,818.64,75.182,287.31,-647.28,-6190.5,-17214,-29571,-36712,-35200,-27334,-18287,-11336,-6302.4,-1822.6,2304.6,5404.2,7489.7,9453,11796,13971,15204,15422,15025,14177,12815,11210,9923.4,9136,8430,7461.3,6470.1,5799.9
602.03,1142.2,1556.8,1685.7,1251.6,-754.5,-5721.3,-13735,-22290,-27437,-26848,-21741,-15496,-10468,-6454.2,-2137.5,2685.5,6829.1,9335.8,10623,11780,13189,14305,14634,14406,14114,13777,12995,11640,10134,8929.7,7949.8,6710.6,4938.1
-16.942,-67.477,-144.28,-157.95,-755.92,-3699.4,-10512,-20230,-28877,-31989,-28167,-20138,-12263,-7103,-4308.9,-2286.6,-218.3,1657.4,3119.7,4603.2,6659,9182.9,11479,12990,13724,13990,13936,13498,12693,11735,10814,9852.7,8599.4,6981.2
-793.23,-429.03,-1017.1,-2216.3,-3950,-7510.8,-14484,-24160,-32619,-35261,-30614,-21462,-12197,-5311.1,-478.3,3593.4,7245.4,9915,11397,12351,13516,14833,15616,15398,14391,13161,12099,11270,10583,9920,9142.1,8143.8,6986.3,5890.1
-2986.9,-2791.8,-2284.4,-1568.5,-1187.3,-1781.4,-3531.3,-5940.6,-8101.6,-9146.1,-8591.9,-6516.1,-3532.2,-499.42,1940.2,3665.2,4950.8,6059,6957.5,7404.4,7245.5,6605.2,5816,5175.9,4746.4,4352.5,3778.9,2970.5,2039.7,1120.6,308.11,-240.82,-293.28,184.03
-28.018,-554.8,-2102.8,-4466.7,-6686.8,-7941.2,-8344.2,-8669.3,-9313.6,-9750.8,-9088.8,-7017.5,-4071.2,-1049.8,1640.5,4077.9,6440.4,8643.1,10304,11007,10656,9633.3,8554.9,7761,7050.7,6011.8,4601.2,3256.7,2370.8,1792.6,1014.4,-185.4,-1460.9,-2302.2
585.73,341.43,119.56,418.16,42.177,-3717.9,-12409,-23818,-32651,-34408,-28809,-19521,-10821,-4680.4,-634.12,2507.5,5412.5,8297.8,11320,14396,16887,17961,17405,15910,14395,13161,11823,10005,7922.3,6199.5,5210.6,4713,4151.9,3263.3
-618.56,-569.3,-1197.8,-2676,-4567.4,-6226.4,-7457.3,-8542.3,-9587.8,-10100,-9409.2,-7387.2,-4544.9,-1464.7,1612.6,4601.3,7249.6,9231.8,10447,10994,10885,10061,8758.2,7597,7012.9,6694.1,5875.4,4263.1,2444.9,1233.7,768.53,489.47,-68.84,-750.78
-397.87,-750.04,-1198.9,-1301.5,-1003.1,-1024.1,-2271,-4686,-6929.1,-7515.7,-6238.2,-4212.4,-2532.5,-1217.6,356.33,2330.1,4117.2,5234.1,5900.9,6566.9,7131.6,7029.1,6041.2,4670.9,3592.5,2984.3,2584,2198.4,1866.6,1580.6,1170.7,589.67,89.789,-75.513
1190.4,1187.6,541.65,153.58,370.69,-721.27,-6288.5,-17081,-29088,-35891,-33928,-25291,-15306,-7855,-3249.2,129.64,3376.3,6529.1,9510.8,12552,15628,18102,19266,18987,17673,15815,13794,11927,10326,8751.8,6911,4976,3514,2761.4
